entity_type,id,parent_id,building_code,building_name,floor,room_no,name,category,features,note
floor,floor:building:15-0:2층,building:15-0,15-0,자연과학대학 본관,2층,,,,,
floor,floor:building:15-0:3층,building:15-0,15-0,자연과학대학 본관,3층,,,,,
floor,floor:building:15-0:4층,building:15-0,15-0,자연과학대학 본관,4층,,,,,
floor,floor:building:15-1:2층,building:15-1,15-1,자연과학대학 1호관,2층,,,,,
floor,floor:building:15-2:1층,building:15-2,15-2,자연과학대학 2호관,1층,,,,,
floor,floor:building:15-3:1층,building:15-3,15-3,자연과학대학 3호관,1층,,,,,
floor,floor:building:15-4:1층,building:15-4,15-4,자연과학대학 4호관,1층,,,,,
floor,floor:building:15-4:2층,building:15-4,15-4,자연과학대학 4호관,2층,,,,,
floor,floor:building:15-4:3층,building:15-4,15-4,자연과학대학 4호관,3층,,,,,
floor,floor:building:15-5:2층,building:15-5,15-5,자연과학대학 5호관,2층,,,,,
floor,floor:building:학군단:3층,building:학군단,,학군단,3층,,,,,
floor,floor:building:2-5:1층,building:2-5,2-5,공과대학 5호관,1층,,,,,
floor,floor:building:2-7:2층,building:2-7,2-7,공과대학 7호관,2층,,,,,
floor,floor:building:2-1:1층,building:2-1,2-1,공과대학 1호관,1층,,,,,
floor,floor:building:2-1:2층,building:2-1,2-1,공과대학 1호관,2층,,,,,
floor,floor:building:2-1:3층,building:2-1,2-1,공과대학 1호관,3층,,,,,
floor,floor:building:2-2:1층,building:2-2,2-2,공과대학 2호관,1층,,,,,
floor,floor:building:2-2:2층,building:2-2,2-2,공과대학 2호관,2층,,,,,
floor,floor:building:2-2:3층,building:2-2,2-2,공과대학 2호관,3층,,,,,
floor,floor:building:2-2:4층,building:2-2,2-2,공과대학 2호관,4층,,,,,
floor,floor:building:2-3:1층,building:2-3,2-3,공과대학 3호관,1층,,,,,
floor,floor:building:2-3:2층,building:2-3,2-3,공과대학 3호관,2층,,,,,
floor,floor:building:2-3:3층,building:2-3,2-3,공과대학 3호관,3층,,,,,
floor,floor:building:2-3:4층,building:2-3,2-3,공과대학 3호관,4층,,,,,
floor,floor:building:2-4:지하1층,building:2-4,2-4,공과대학 4호관,지하1층,,,,,
floor,floor:building:2-4:1층,building:2-4,2-4,공과대학 4호관,1층,,,,,
floor,floor:building:2-4:2층,building:2-4,2-4,공과대학 4호관,2층,,,,,
floor,floor:building:2-4:3층,building:2-4,2-4,공과대학 4호관,3층,,,,,
floor,floor:building:2-4:4층,building:2-4,2-4,공과대학 4호관,4층,,,,,
floor,floor:building:2-5:2층,building:2-5,2-5,공과대학 5호관,2층,,,,,
floor,floor:building:2-5:3층,building:2-5,2-5,공과대학 5호관,3층,,,,,
floor,floor:building:2-5:4층,building:2-5,2-5,공과대학 5호관,4층,,,,,
floor,floor:building:2-5:5층,building:2-5,2-5,공과대학 5호관,5층,,,,,
floor,floor:building:2-6:지하1층,building:2-6,2-6,공과대학 6호관,지하1층,,,,,
floor,floor:building:2-6:1층,building:2-6,2-6,공과대학 6호관,1층,,,,,
floor,floor:building:2-6:2층,building:2-6,2-6,공과대학 6호관,2층,,,,,
floor,floor:building:2-6:3층,building:2-6,2-6,공과대학 6호관,3층,,,,,
floor,floor:building:2-6:4층,building:2-6,2-6,공과대학 6호관,4층,,,,,
floor,floor:building:2-6:5층,building:2-6,2-6,공과대학 6호관,5층,,,,,
floor,floor:building:2-7:지하1층,building:2-7,2-7,공과대학 7호관,지하1층,,,,,
floor,floor:building:2-7:1층,building:2-7,2-7,공과대학 7호관,1층,,,,,
floor,floor:building:2-7:3층,building:2-7,2-7,공과대학 7호관,3층,,,,,
floor,floor:building:2-7:4층,building:2-7,2-7,공과대학 7호관,4층,,,,,
floor,floor:building:2-7:5층,building:2-7,2-7,공과대학 7호관,5층,,,,,
floor,floor:building:2-7:6층,building:2-7,2-7,공과대학 7호관,6층,,,,,
floor,floor:building:2-8:1층,building:2-8,2-8,공과대학 8호관(자동차산학협동관),1층,,,,,
floor,floor:building:2-8:2층,building:2-8,2-8,공과대학 8호관(자동차산학협동관),2층,,,,,
floor,floor:building:2-8:3층,building:2-8,2-8,공과대학 8호관(자동차산학협동관),3층,,,,,
floor,floor:building:2-8:4층,building:2-8,2-8,공과대학 8호관(자동차산학협동관),4층,,,,,
floor,floor:building:2-9:1층,building:2-9,2-9,공과대학 9호관,1층,,,,,
floor,floor:building:2-9:2층,building:2-9,2-9,공과대학 9호관,2층,,,,,
floor,floor:building:2-9:3층,building:2-9,2-9,공과대학 9호관,3층,,,,,
floor,floor:building:2-9:4층,building:2-9,2-9,공과대학 9호관,4층,,,,,
floor,floor:building:2-9:5층,building:2-9,2-9,공과대학 9호관,5층,,,,,
floor,floor:building:2-9:6층,building:2-9,2-9,공과대학 9호관,6층,,,,,
floor,floor:building:2-9:7층,building:2-9,2-9,공과대학 9호관,7층,,,,,
floor,floor:building:2-9:8층,building:2-9,2-9,공과대학 9호관,8층,,,,,
floor,floor:building:2-9:9층,building:2-9,2-9,공과대학 9호관,9층,,,,,
floor,floor:building:2-20:1층,building:2-20,2-20,공대공장동,1층,,,,,
floor,floor:building:2-20:2층,building:2-20,2-20,공대공장동,2층,,,,,
floor,floor:building:2-20:3층,building:2-20,2-20,공대공장동,3층,,,,,
floor,floor:building:2-23:전체,building:2-23,2-23,대형풍동센터,전체,,,,,
floor,floor:building:POI-OS-SQUARE:1층,building:POI-OS-SQUARE,POI-OS-SQUARE,오스스퀘어,1층,,,,,
floor,floor:building:POI-OS-SQUARE:2층,building:POI-OS-SQUARE,POI-OS-SQUARE,오스스퀘어,2층,,,,,
floor,floor:building:정보화교육동:2층,building:정보화교육동,,정보화교육동,2층,,,,,
room,room:building:3-0:1층:101호:시청각실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,101호,시청각실,교육공간,,
room,room:building:3-0:1층:104호:전산실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,104호,전산실,교육공간,,
room,room:building:3-0:1층:105호:컴퓨터제어실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,105호,컴퓨터제어실,기타/도면 표기,,
room,room:building:3-0:1층:106·107호:강의실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,106·107호,강의실,교육공간,,
room,room:building:3-0:1층:109호:전시실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,109호,전시실,공용·지원공간,,
room,room:building:3-0:1층:109호:수리학실험실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,109호,수리학실험실,실험·연구공간,,
room,room:building:3-0:1층:111호:재료실험실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,111호,재료실험실,실험·연구공간,,
room,room:building:3-0:1층:112호:토질역학실험실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,112호,토질역학실험실,실험·연구공간,,
room,room:building:3-0:1층:113호:구조공학실험실,floor:building:3-0:1층,3-0,농업생명과학대학 본관,1층,113호,구조공학실험실,실험·연구공간,,
room,room:building:3-0:2층:201호:경영컨설팅,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,201호,경영컨설팅,기타/도면 표기,,
room,room:building:3-0:2층:215호:농업과학기술연구소,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,215호,농업과학기술연구소,연구·사업기관,,
room,room:building:3-0:2층:213호:센터행정실,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,213호,센터행정실,행정공간,,
room,room:building:3-0:2층:211호:학장실·농업개발센터,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,211호,학장실·농업개발센터,행정공간,,
room,room:building:3-0:2층:209호:부학장실,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,209호,부학장실,행정공간,,
room,room:building:3-0:2층:228호:행정실,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,228호,행정실,행정공간,,
room,room:building:3-0:2층:227호:제도준비실,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,227호,제도준비실,실험·연구공간,,
room,room:building:3-0:2층:207·217·218호:강의실,floor:building:3-0:2층,3-0,농업생명과학대학 본관,2층,207·217·218호,강의실,교육공간,,
room,room:building:3-0:3층:302~303호:강의실,floor:building:3-0:3층,3-0,농업생명과학대학 본관,3층,302~303호,강의실,교육공간,,
room,room:building:3-0:3층:313호:공동기기분석실,floor:building:3-0:3층,3-0,농업생명과학대학 본관,3층,313호,공동기기분석실,실험·연구공간,,
room,room:building:3-0:3층:309호:동물자원학과부 학생·학술 공간,floor:building:3-0:3층,3-0,농업생명과학대학 본관,3층,309호,동물자원학과부 학생·학술 공간,기타/도면 표기,,
room,room:building:3-0:3층:330호:산림자원학과 사무실,floor:building:3-0:3층,3-0,농업생명과학대학 본관,3층,330호,산림자원학과 사무실,행정공간,,
room,room:building:3-0:3층:329호:세미나실,floor:building:3-0:3층,3-0,농업생명과학대학 본관,3층,329호,세미나실,공용·지원공간,,
room,room:building:3-0:3층:도면 참조:수목·육종·환경임업·산림공학 실험실,floor:building:3-0:3층,3-0,농업생명과학대학 본관,3층,도면 참조,수목·육종·환경임업·산림공학 실험실,실험·연구공간,,
room,room:building:3-0:4층:401호:쌀산업연구실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,401호,쌀산업연구실,실험·연구공간,,
room,room:building:3-0:4층:402호:농촌생활환경설계실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,402호,농촌생활환경설계실,기타/도면 표기,,
room,room:building:3-0:4층:403호:산림자원학과 종합기기실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,403호,산림자원학과 종합기기실,실험·연구공간,,
room,room:building:3-0:4층:406-1호:WISE 전북지역센터,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,406-1호,WISE 전북지역센터,연구·사업기관,,
room,room:building:3-0:4층:407호:환경미생물배양실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,407호,환경미생물배양실,기타/도면 표기,,
room,room:building:3-0:4층:408호:생물산업기계 학생공간,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,408호,생물산업기계 학생공간,기타/도면 표기,,
room,room:building:3-0:4층:414호:제도실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,414호,제도실,교육공간,,
room,room:building:3-0:4층:415호:학생실험실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,415호,학생실험실,실험·연구공간,,
room,room:building:3-0:4층:416·417호:산림경영·보호 실험실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,416·417호,산림경영·보호 실험실,실험·연구공간,,
room,room:building:3-0:4층:423호:강의실,floor:building:3-0:4층,3-0,농업생명과학대학 본관,4층,423호,강의실,교육공간,,
room,room:building:3-1:1층:100호:식물유전자원센터,floor:building:3-1:1층,3-1,농업생명과학대학 1호관,1층,100호,식물유전자원센터,연구·사업기관,,
room,room:building:3-1:1층:101~102호:작물·식물유전 관련 공간,floor:building:3-1:1층,3-1,농업생명과학대학 1호관,1층,101~102호,작물·식물유전 관련 공간,기타/도면 표기,,
room,room:building:3-1:1층:103~104호:수박특화사업단,floor:building:3-1:1층,3-1,농업생명과학대학 1호관,1층,103~104호,수박특화사업단,연구·사업기관,,
room,room:building:3-1:1층:105호:바이오식품소재연구실,floor:building:3-1:1층,3-1,농업생명과학대학 1호관,1층,105호,바이오식품소재연구실,실험·연구공간,,
room,room:building:3-1:1층:106호:교수회의실,floor:building:3-1:1층,3-1,농업생명과학대학 1호관,1층,106호,교수회의실,학생·공용공간,,
room,room:building:3-1:1층:107~113호:바이오식품소재 행정실·연구실·기기분석실,floor:building:3-1:1층,3-1,농업생명과학대학 1호관,1층,107~113호,바이오식품소재 행정실·연구실·기기분석실,행정공간,,
room,room:building:3-1:2층:201~202호:고친지식혁신특성화사업단,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,201~202호,고친지식혁신특성화사업단,연구·사업기관,,
room,room:building:3-1:2층:204호:IDEA 회의실,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,204호,IDEA 회의실,학생·공용공간,,
room,room:building:3-1:2층:205호:REA 실험실,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,205호,REA 실험실,실험·연구공간,,
room,room:building:3-1:2층:206~206-2호:세라믹연구사업단,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,206~206-2호,세라믹연구사업단,연구·사업기관,,
room,room:building:3-1:2층:207·207-1호:실용영어강의실,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,207·207-1호,실용영어강의실,교육공간,,
room,room:building:3-1:2층:209호:생물산업연구소,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,209호,생물산업연구소,연구·사업기관,,
room,room:building:3-1:2층:211호:농식품마케팅강의실,floor:building:3-1:2층,3-1,농업생명과학대학 1호관,2층,211호,농식품마케팅강의실,교육공간,,
room,room:building:3-1:3층:301호:강의실,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,301호,강의실,교육공간,,
room,room:building:3-1:3층:302호:농생대컴퓨터실,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,302호,농생대컴퓨터실,교육공간,,
room,room:building:3-1:3층:303호:영상학습실,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,303호,영상학습실,교육공간,,
room,room:building:3-1:3층:306호:수박산업혁신사업단,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,306호,수박산업혁신사업단,연구·사업기관,,
room,room:building:3-1:3층:307호:한국스테비아연구소,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,307호,한국스테비아연구소,연구·사업기관,,
room,room:building:3-1:3층:307-1호:(주,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,307-1호,(주,,,
room,room:building:3-1:3층:308호:현지제조실험실,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,308호,현지제조실험실,실험·연구공간,,
room,room:building:3-1:3층:309-1호:민중생활사 연구실,floor:building:3-1:3층,3-1,농업생명과학대학 1호관,3층,309-1호,민중생활사 연구실,실험·연구공간,,
room,room:building:3-1:4층:도면 참조:물탱크,floor:building:3-1:4층,3-1,농업생명과학대학 1호관,4층,도면 참조,물탱크,기타/도면 표기,,
room,room:building:3-1:4층:401호:ES새물림,floor:building:3-1:4층,3-1,농업생명과학대학 1호관,4층,401호,ES새물림,기타/도면 표기,,
room,room:building:3-1:4층:402호:남학생휴게소,floor:building:3-1:4층,3-1,농업생명과학대학 1호관,4층,402호,남학생휴게소,학생·공용공간,,
room,room:building:3-1:4층:403호:농공학회실,floor:building:3-1:4층,3-1,농업생명과학대학 1호관,4층,403호,농공학회실,학생·공용공간,,
room,room:building:3-1:4층:408~412호:단비·한아름·켐트·새물림·축구동아리·느티나무 공간,floor:building:3-1:4층,3-1,농업생명과학대학 1호관,4층,408~412호,단비·한아름·켐트·새물림·축구동아리·느티나무 공간,학생·공용공간,,
room,room:building:3-2:1층:101호:생물환경세미나실,floor:building:3-2:1층,3-2,농업생명과학대학 2호관,1층,101호,생물환경세미나실,공용·지원공간,,
room,room:building:3-2:1층:102호:생리활성물질연구소,floor:building:3-2:1층,3-2,농업생명과학대학 2호관,1층,102호,생리활성물질연구소,연구·사업기관,,
room,room:building:3-2:1층:103~106호:농업환경·생물환경 연구실,floor:building:3-2:1층,3-2,농업생명과학대학 2호관,1층,103~106호,농업환경·생물환경 연구실,실험·연구공간,,
room,room:building:3-2:1층:115호:응용식물생화학실험실,floor:building:3-2:1층,3-2,농업생명과학대학 2호관,1층,115호,응용식물생화학실험실,실험·연구공간,,
room,room:building:3-2:1층:108·111·113·114호:토양비료·농약및잔류·식물영양·잡초방제 실험실,floor:building:3-2:1층,3-2,농업생명과학대학 2호관,1층,108·111·113·114호,토양비료·농약및잔류·식물영양·잡초방제 실험실,실험·연구공간,,
room,room:building:3-2:1층:107호:생물환경화학과 학과사무실·조교실,floor:building:3-2:1층,3-2,농업생명과학대학 2호관,1층,107호,생물환경화학과 학과사무실·조교실,행정공간,,
room,room:building:3-2:2층:201~207호:작물생명공학 자료실·연구·실험,floor:building:3-2:2층,3-2,농업생명과학대학 2호관,2층,201~207호,작물생명공학 자료실·연구·실험,공용·지원공간,,
room,room:building:3-2:2층:208·210호:시설·생장조절물질 실험실,floor:building:3-2:2층,3-2,농업생명과학대학 2호관,2층,208·210호,시설·생장조절물질 실험실,실험·연구공간,,
room,room:building:3-2:2층:211~218호:원예육종·원예유전·조직배양·원예화학·과수원예학 실험실,floor:building:3-2:2층,3-2,농업생명과학대학 2호관,2층,211~218호,원예육종·원예유전·조직배양·원예화학·과수원예학 실험실,실험·연구공간,,
room,room:building:3-2:2층:219호:현미경실,floor:building:3-2:2층,3-2,농업생명과학대학 2호관,2층,219호,현미경실,실험·연구공간,,
room,room:building:3-2:2층:220~222호:생리·종묘·공예작물 실험실,floor:building:3-2:2층,3-2,농업생명과학대학 2호관,2층,220~222호,생리·종묘·공예작물 실험실,실험·연구공간,,
room,room:building:3-2:3층:326호:작물생명과학 대학원 세미나실,floor:building:3-2:3층,3-2,농업생명과학대학 2호관,3층,326호,작물생명과학 대학원 세미나실,공용·지원공간,,
room,room:building:3-2:3층:322~325호:식물유전육종·분자유전학·전작 실험실,floor:building:3-2:3층,3-2,농업생명과학대학 2호관,3층,322~325호,식물유전육종·분자유전학·전작 실험실,실험·연구공간,,
room,room:building:3-2:3층:301~320호:원예·화훼·생리·유전·조직배양·육종 실험실 및 연구실,floor:building:3-2:3층,3-2,농업생명과학대학 2호관,3층,301~320호,원예·화훼·생리·유전·조직배양·육종 실험실 및 연구실,실험·연구공간,,
room,room:building:3-2:4층:401~406호:강의실 6개,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,401~406호,강의실 6개,교육공간,,
room,room:building:3-2:4층:408~410호:학생회실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,408~410호,학생회실,학생·공용공간,,
room,room:building:3-2:4층:411호:조교실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,411호,조교실,행정공간,,
room,room:building:3-2:4층:412호:일반화학실험실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,412호,일반화학실험실,실험·연구공간,,
room,room:building:3-2:4층:413호:여학생휴게실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,413호,여학생휴게실,학생·공용공간,,
room,room:building:3-2:4층:414호:푸른샘,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,414호,푸른샘,기타/도면 표기,,
room,room:building:3-2:4층:415호:농생대학생회실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,415호,농생대학생회실,학생·공용공간,,
room,room:building:3-2:4층:416호:학생회회의실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,416호,학생회회의실,학생·공용공간,,
room,room:building:3-2:4층:417호:생활화학실,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,417호,생활화학실,기타/도면 표기,,
room,room:building:3-2:4층:418호:가락노모임,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,418호,가락노모임,기타/도면 표기,,
room,room:building:3-2:4층:419호:pinus,floor:building:3-2:4층,3-2,농업생명과학대학 2호관,4층,419호,pinus,기타/도면 표기,,
room,room:building:3-3:1층:101호:공통실험실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,101호,공통실험실,실험·연구공간,,
room,room:building:3-3:1층:101-1·101-2호:이공전·동물영양 연구실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,101-1·101-2호,이공전·동물영양 연구실,실험·연구공간,,
room,room:building:3-3:1층:102호:현미경실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,102호,현미경실,실험·연구공간,,
room,room:building:3-3:1층:103호:식물Virus병학실험실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,103호,식물Virus병학실험실,실험·연구공간,,
room,room:building:3-3:1층:104호:농생물학학술실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,104호,농생물학학술실,기타/도면 표기,,
room,room:building:3-3:1층:113호:곤충분류학실험실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,113호,곤충분류학실험실,실험·연구공간,,
room,room:building:3-3:1층:114~116호:식물병리학·곤충분류학·식물세균병학 실험실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,114~116호,식물병리학·곤충분류학·식물세균병학 실험실,실험·연구공간,,
room,room:building:3-3:1층:108호:동물자원과학과 학과사무실·조교 연락처,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,108호,동물자원과학과 학과사무실·조교 연락처,행정공간,,
room,room:building:3-3:1층:119호:가금영양학실험실,floor:building:3-3:1층,3-3,농업생명과학대학 3호관,1층,119호,가금영양학실험실,실험·연구공간,,
room,room:building:3-3:2층:217호:곤충사육실,floor:building:3-3:2층,3-3,농업생명과학대학 3호관,2층,217호,곤충사육실,실험·연구공간,,
room,room:building:3-3:2층:218·219호:식물해부표본실,floor:building:3-3:2층,3-3,농업생명과학대학 3호관,2층,218·219호,식물해부표본실,실험·연구공간,,
room,room:building:3-3:2층:220호:곤충생태학실험실,floor:building:3-3:2층,3-3,농업생명과학대학 3호관,2층,220호,곤충생태학실험실,실험·연구공간,,
room,room:building:3-3:2층:221·225호:곤충생태학실험실·전북대벌사무실,floor:building:3-3:2층,3-3,농업생명과학대학 3호관,2층,221·225호,곤충생태학실험실·전북대벌사무실,행정공간,,
room,room:building:3-3:2층:226호:동물자원 연구·실험실,floor:building:3-3:2층,3-3,농업생명과학대학 3호관,2층,226호,동물자원 연구·실험실,실험·연구공간,,
room,room:building:3-3:3층:311-1호:세미나실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,311-1호,세미나실,공용·지원공간,,
room,room:building:3-3:3층:311호:전산조경설계실·국제실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,311호,전산조경설계실·국제실,기타/도면 표기,,
room,room:building:3-3:3층:312호:제도강의실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,312호,제도강의실,교육공간,,
room,room:building:3-3:3층:313-1호:식물의학과 학과사무실·조교 연락처,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,313-1호,식물의학과 학과사무실·조교 연락처,행정공간,,
room,room:building:3-3:3층:306호:조경식재설계실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,306호,조경식재설계실,기타/도면 표기,,
room,room:building:3-3:3층:307호:환경디자인실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,307호,환경디자인실,기타/도면 표기,,
room,room:building:3-3:3층:309-1~310-1호:경관생태조경·단지·환경생태조경식물학 실험실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,309-1~310-1호,경관생태조경·단지·환경생태조경식물학 실험실,실험·연구공간,,
room,room:building:3-3:3층:316·317호:강의실,floor:building:3-3:3층,3-3,농업생명과학대학 3호관,3층,316·317호,강의실,교육공간,,
