name,parent,parent2,office,phone,content
교무과,교무처,본부,대학본부 5층,063-270-2206,"4대 보험 업무(강사, 비전임, 행정인턴), 교원겸직허가(중소‧벤처, 사외이사 등), 인사기록관리(조직도, 전력조사, 보직자, 신분증) , 교육공무원 등 교육훈련 관리 ,전임교원 신규채용 지원, 각종 외부기관 위원 추천, 교원 복무 관리(휴․복직 포함), 명예 교수 관리"
교무과,교무처,본부,대학본부 5층,063-270-4243,"교무 및 교원인사 업무 지원, 교육행정인턴 운영 지원, 각종 교무과 주관 행사 지원(공채기간 중 제외)"
학사지원과,교무처,본부,대학본부 1층,063-270-2113,NULL
학사지원과,교무처,본부,대학본부 1층,063-270-2101,NULL
학사지원과,교무처,본부,대학본부 1층,063-270-2092,학적관리팀 업무 총괄
학사지원과,교무처,본부,대학본부 1층,063-270-2102,수업관리팀 업무 총괄
학사지원과,교무처,본부,대학본부 1층,063-270-2093,"학사과정 졸업, 학부 학생통계, 현황, 학부 학생 신분변동 (휴‧복학, 제적 등) 관리"
학사지원과,교무처,본부,대학본부 1층,063-270-4357,"학부 재입학, 학생 병사 업무"
학사지원과,교무처,본부,대학본부 1층,063-270-2094,"학생 및 교직원 제 증명·발급, 학력조회 회신"
학사지원과,교무처,본부,대학본부 1층,063-270-2856,학사 제도 연구 등
학사지원과,교무처,본부,대학본부 1층,063-270-2233,"증명서 발급 지원, 국내 및 해외우편 관리,수강신청 및 학생 출결관리"
학사지원과,교무처,본부,대학본부 1층,063-270-2103,"학부 수업계획 및 진행관리, 학점 및 성적관리"
학사지원과,교무처,본부,대학본부 1층,063-270-2104,"전임교원 책임시간 관리, 강의료 지급 및 관리, 영어강의 관리"
학사지원과,교무처,본부,대학본부 1층,063-270-2105,"계절수업 운영, 학점교류 관리(대학원 포함), 성적경고, 미수강자 관리"
총무과,사무국,본부,대학본부 2층,063-270-2007,사무국 업무 총괄
총무과,사무국,본부,대학본부 2층,063-270-2021,총무과 업무 총괄
총무과,사무국,본부,대학본부 2층,063-270-2027,"총무팀 총괄, 의전 및 행사관리"
총무과,사무국,본부,대학본부 2층,063-270-2025,"인사팀 총괄, 정원관리, 직원임면, 인사고충 처리"
총무과,사무국,본부,대학본부 2층,063-270-4171,"법무감사팀 총괄, 감사업무, 이해충돌방지제도 운영총괄"
총무과,사무국,본부,대학본부 2층,063-270-4913,비서실 수행 총괄
총무과,사무국,본부,대학본부 2층,063-270-2023,"복무관리, 보안, 통합경비용역 관리, 직장어린이집운영, 교육행정전자서명 인증서 발급"
총무과,사무국,본부,대학본부 2층,063-270-2032,"주요 회의관리, 각종 행사운영, 민원처리, 학생지도비 운영, 직인관리, 민방위"
총무과,사무국,본부,대학본부 2층,063-270-4837,"개인정보보호 업무, 정보공개 접수처리, 업무노트 및 교직원수첩 제작, 코러스 행정표준코드"
총무과,사무국,본부,대학본부 2층,063-270-4366,"일반서무, 교직원 동호회지원, 학교안내전화, 행정정보공동이용 및 공공데이터 개방 업무, 물품관리"
총무과,사무국,본부,대학본부 2층,063-270-2028,"회의자료 작성, 문서 배부, 근로장학생 관리"
총무과,사무국,본부,대학본부 2층,063-270-2108,비서업무
총무과,사무국,본부,대학본부 2층,063-270-2026,"공무원 인사관리, 성과평가, 채용, 성과상여금 지급, 징계"
총무과,사무국,본부,대학본부 2층,063-270-2045,"직원 인사관리(대학회계직 및 기간제), 직원 겸직허가, 대학노동조합 노무관리 업무, 교내 인사노무업무 지원"
총무과,사무국,본부,대학본부 2층,063-270-2164,"직원 신규 채용(대학회계직, 계약직, 한시임기제공무원), 역량평가 및 동료평가, 직원 통계 관리, 공무원노동조합관리"
총무과,사무국,본부,대학본부 2층,063-270-4367,"공무원연금, 4대 보험, 신분증 발급, 제증명, 과운영비"
총무과,사무국,본부,대학본부 2층,063-270-4368,"직원교육훈련, 국내외연수, 직원공무국외출장, 맞춤형복지"
총무과,사무국,본부,대학본부 2층,063-270-2199,노조업무
총무과,사무국,본부,대학본부 2층,063-270-2049,"소송·소청·행정심판 업무, 감사 및 사안조사, 갑질 조사, 소송 업무 부서별 이관, 법률 자문 및 법령 해석 등"
총무과,사무국,본부,대학본부 2층,063-270-2029,"행정지도·감사, 국정감사, 공공감사정보시스템 관리, 공직자 재산등록, 일상감사"
총무과,사무국,본부,대학본부 2층,063-270-2044,"법제 업무, 민원, 이해충돌방지법 업무, 종합청렴도 평가, 공직기강 점검"
총무과,사무국,본부,대학본부 2층,063-270-4707,"특정감사, 갑질조사, 민원 및 제보 관련 내용조사 등"
총무과,사무국,본부,대학본부 2층,063-270-4914,비서실 총장 수행팀장
총무과,사무국,본부,대학본부 2층,063-270-2001,비서 업무
총무과,사무국,본부,대학본부 2층,063-270-2002,비서 업무
총무과,사무국,본부,대학본부 2층,063-270-2002,총장차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-2050,예비군 업무 총괄
총무과,사무국,본부,대학본부 2층,063-270-3622,예비군업무
총무과,사무국,본부,대학본부 2층,063-270-4836,"환경관리원 점검, 교내 환경 점검 및 관련 물품 지원, 사회복무요원 관리, 소독․방역․소방관리, 관사관리"
총무과,사무국,본부,대학본부 2층,063-270-3931,주차 관련 업무
총무과,사무국,본부,대학본부 2층,063-270-3500,주차 관련 업무
총무과,사무국,본부,대학본부 2층,063-270-2042,현수막 관리 업무
총무과,사무국,본부,대학본부 2층,063-270-4393,"진수당 관리 및 방호, 대관"
총무과,사무국,본부,대학본부 2층,063-905-9003,국제컨벤션센터 관리
총무과,사무국,본부,대학본부 2층,063-270-4647,집하장 차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-4157,공용차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-4157,공용차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-2040,공용차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-4157,공용차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-2040,공용차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-2041,공용차량 운행 및 정비
총무과,사무국,본부,대학본부 2층,063-270-2040,수의대 차량 운행 및 정비
재무과,사무국,본부,대학본부 6층,063-270-2051,재무과 업무 총괄
재무과,사무국,본부,대학본부 6층,063-270-2052,재무 1팀 업무 총괄
재무과,사무국,본부,대학본부 6층,063-270-2053,"일반회계 및 대학회계 예산편성 및 집행관리, 회계제도 관리"
재무과,사무국,본부,대학본부 6층,063-270-2056,"용역 계약, 정보공시 및 통계, 재정위원회 관리"
재무과,사무국,본부,대학본부 6층,063-270-2057,"시설공사 계약, 관급자재 구매"
재무과,사무국,본부,대학본부 6층,063-270-2058,"물품계약, 실험실습기자재 확충사업 지원 및 관리"
재무과,사무국,본부,대학본부 6층,063-270-4375,"물품계약, 실험실습기자재 확충사업 지원 및 관리, 관급자재 구매"
재무과,사무국,본부,대학본부 6층,063-270-4370,"대학회계 집행관리(인건비, 운영비 등), 공공요금 관리"
재무과,사무국,본부,대학본부 6층,063-270-4372,"재무 2팀 업무 총괄, 대학회계 자금관리 및 운용"
재무과,사무국,본부,대학본부 6층,063-270-4371,대학회계 지출 및 결산 관리
재무과,사무국,본부,대학본부 6층,063-270-2822,"국유재산 관리(취득．처분, 유상사용 수익．허가, 국유재산관련 소송 수행 등)"
재무과,사무국,본부,대학본부 6층,063-270-2055,"등록금 업무, 세입징수 및 수입금 관리"
재무과,사무국,본부,대학본부 6층,063-270-4289,물품관리 담당 및 정부미술품 관리
재무과,사무국,본부,대학본부 6층,063-270-2054,"급여 지급 및 관리, 연말정산, 원천세 관리"
시설과,사무국,본부,대학본부 2층,063-270-2088,"민원 전화 접수, 담당별 업무 안내"
시설과,사무국,본부,대학본부 3층,063-270-2061,시설과 업무 전반에 관한 총괄
시설과,사무국,본부,대학본부 4층,063-270-2062,시설과 업무 총괄 보좌
시설과,사무국,본부,대학본부 5층,063-270-2133,시설기획팀 업무 주관
시설과,사무국,본부,대학본부 6층,063-270-2065,"BTL사업 총괄관리 업무, 정책보수(드라이비트)"
시설과,사무국,본부,대학본부 7층,063-270-4603,시설예산편성 및 결산
시설과,사무국,본부,대학본부 8층,063-270-2066,소규모 보수공사 업무
시설과,사무국,본부,대학본부 9층,063-270-2176,시설물 안전점검 및 안전인증에 관한 업무
시설과,사무국,본부,대학본부 10층,063-270-2088,과 서무업무
시설과,사무국,본부,대학본부 11층,063-270-4374,시설1팀 업무 주관
시설과,사무국,본부,대학본부 12층,063-270-2070,목적보수(창호)
시설과,사무국,본부,대학본부 13층,063-270-2067,"BTL사업 관련 업무, 일반보수(연간 확정사업)"
시설과,사무국,본부,대학본부 14층,063-270-2072,"소방(건축) 관련 업무, 장애인편의시설 설치에 관한 업무"
시설과,사무국,본부,대학본부 15층,063-270-5365,"시설물(건축) 하자 관련 업무, 치장벽돌 보강에 관한 업무"
시설과,사무국,본부,대학본부 16층,063-270-4377,시설2팀 업무 주관
시설과,사무국,본부,대학본부 17층,063-270-2073,"옥외 우수, 오수 유지관리 업무, 도로표지판 관리 업무"
시설과,사무국,본부,대학본부 18층,063-270-4378,"수목 식재 및 관리, 조경시설물 관련 업무, 조경실 운영에 관한 업무"
시설과,사무국,본부,대학본부 19층,063-270-2074,공업1팀 업무 주관
시설과,사무국,본부,대학본부 20층,063-270-2068,"기계분야 시설 유지보수 업무(기계, 석면-기계, 냉∙난방기)"
시설과,사무국,본부,대학본부 21층,063-270-4376,"소방(기계) 관련 업무, 보일러세관 및 냉온수기 유지관리 업무"
시설과,사무국,본부,대학본부 22층,063-270-4417,"기계분야 시설 유지보수 업무(냉난방기), 물탱크 및 정화조 관리 업무"
시설과,사무국,본부,대학본부 23층,063-270-2079,에너지절약(총괄 및 기계분야) 관련 업무
시설과,사무국,본부,대학본부 24층,063-270-4379,"시설물 유지보수 업무(전기, 통신, 소방-전기)"
시설과,사무국,본부,대학본부 25층,063-270-2064,전기자동차 충전시설에 관한 업무
시설과,사무국,본부,대학본부 26층,063-270-3454,승강기 유지관리 용역 및 보수 업무
시설과,사무국,본부,대학본부 27층,063-270-4380,"에너지절약(전기) 관련 업무, 전광판 및 PDP TV 관련 업무"
시설과,사무국,본부,대학본부 28층,063-270-4667,바로바로서비스 오수처리장 유지관리
시설과,사무국,본부,대학본부 29층,063-270-2158,바로바로서비스 급수배수시설 및 냉․난방설비 운전 및 유지관리
시설과,사무국,본부,대학본부 30층,063-270-4725,바로바로서비스 급수배수시설 및 냉․난방설비 운전 및 유지관리
시설과,사무국,본부,대학본부 31층,063-270-2158,바로바로서비스 급수배수시설 및 냉․난방설비 운전 및 유지관리
시설과,사무국,본부,대학본부 32층,063-270-3119,바로바로서비스 급수배수시설 및 냉․난방설비 운전 및 유지관리
시설과,사무국,본부,대학본부 33층,063-270-2077,바로바로서비스 민원 처리(기계)
시설과,사무국,본부,대학본부 34층,063-270-2158,난방원
시설과,사무국,본부,대학본부 35층,063-270-2158,난방원
시설과,사무국,본부,대학본부 36층,063-270-2158,난방원
시설과,사무국,본부,대학본부 37층,063-270-2158,난방원
시설과,사무국,본부,대학본부 38층,063-270-4415,바로바로서비스 전기설비 안전관리자 및 감리업무
시설과,사무국,본부,대학본부 39층,063-270-2119,바로바로서비스 전기설비 안전관리자 및 감리업무
시설과,사무국,본부,대학본부 40층,063-270-2119,바로바로서비스 전기설비 안전관리자 및 감리업무
시설과,사무국,본부,대학본부 41층,063-270-2119,바로바로서비스 전기설비 안전관리자 및 감리업무
시설과,사무국,본부,대학본부 42층,063-270-4414,바로바로서비스 소방관련 업무
시설과,사무국,본부,대학본부 43층,063-270-2119,바로바로서비스 전기설비 안전관리자 및 감리업무
시설과,사무국,본부,대학본부 44층,063-270-4414,바로바로서비스 소방관련 업무
시설과,사무국,본부,대학본부 45층,063-270-3110,바로바로서비스 교내 통신시설 유지관리
시설과,사무국,본부,대학본부 46층,063-270-2110,바로바로서비스 교내 통신시설 유지관리
시설과,사무국,본부,대학본부 47층,063-270-4110,바로바로서비스 교내 통신시설 유지관리
시설과,사무국,본부,대학본부 48층,063-270-2033,"바로바로서비스 수목 식재 및 관리, 조경시설물 관련 업무"
시설과,사무국,본부,대학본부 49층,063-270-2033,"바로바로서비스 수목 식재 및 관리, 조경시설물 관련 업무"
시설과,사무국,본부,대학본부 50층,063-270-2033,"바로바로서비스 수목 식재 및 관리, 조경시설물 관련 업무"
시설과,사무국,본부,대학본부 51층,063-270-2033,"바로바로서비스 수목 식재 및 관리, 조경시설물 관련 업무"
예비군연대,사무국,본부,학군단 구건물 1층 (덕진공원 후문 위),"063-270-3622, 3624",NULL
국제협력과,국제처,본부,JBNU인터내셔널센터 4층,063-270-2060,국제처 업무 총괄
국제협력과,국제처,본부,JBNU인터내셔널센터 5층,063-270-2109,공석
국제협력과,국제처,본부,JBNU인터내셔널센터 6층,063-270-4623,국제처 업무 총괄
국제협력과,국제처,본부,JBNU인터내셔널센터 7층,063-270-4381,국제협력과 업무 총괄
국제협력과,국제처,본부,JBNU인터내셔널센터 8층,063-270-4624,"회계, 유학생 통계 관리"
국제협력과,국제처,본부,JBNU인터내셔널센터 9층,063-270-4965,교육공무원 공무(외)국외여행 허가 관리
국제협력과,국제처,본부,JBNU인터내셔널센터 10층,063-270-4964,"입시지원 업무 총괄, Feeling Korea 프로그램, 교육국제화인증제, Asia-aims사업"
국제협력과,국제처,본부,JBNU인터내셔널센터 11층,063-270-4643,"드래곤 프로젝트, 유학생지원업무(Buddy,Study Assistant,글로벌스터디그룹), 외국인재학생 장학금, 뉴스레터"
국제협력과,국제처,본부,JBNU인터내셔널센터 12층,063-270-4757,정부초청장학생 및 한일공동고등장학생 선발&관리 파견교환학생
국제협력과,국제처,본부,JBNU인터내셔널센터 13층,063-270-4382,"대학원 입학 및 학적변동, 신입생장학금(대학원), 한국어능력(대학원)"
국제협력과,국제처,본부,JBNU인터내셔널센터 14층,063-270-4653,"학부입학 및 학적변동, 신입생장학금(학부), 한국어능력(학부), 국립대육성사업"
국제협력과,국제처,본부,JBNU인터내셔널센터 15층,063-270-4976,"RISE 사업(해외 우수인재 원스톱 지원 과제 업무), 비자 관리"
국제협력과,국제처,본부,JBNU인터내셔널센터 16층,063-270-2098,"RISE 사업(해외 우수인재 원스톱 지원 과제 업무), 유학생 취업지원 프로그램, 유학생지원업무(페스티벌,워크숍,문화체험)"
국제협력과,국제처,본부,JBNU인터내셔널센터 17층,063-270-4888,"파견교환학생,정부초청장학생 단기과정(우수교환), 유학생 동아리 및 학생회 관리, 유학생지원업무(가이드북,만족도 조사, 외국인유학생 상담)"
국제협력과,국제처,본부,JBNU인터내셔널센터 18층,063-270-4974,"유치교류팀 업무 총괄, 해외어학연수, 파란사다리, MOU"
국제협력과,국제처,본부,JBNU인터내셔널센터 19층,063-270-2184,"(중화권) 초청 교환학생, (중화권)복수/공동학위, MOU, 교비유학생"
국제협력과,국제처,본부,JBNU인터내셔널센터 20층,063-270-4652,"(비중화권) 복수/공동학위, 국제컨퍼런스 관리"
국제협력과,국제처,본부,JBNU인터내셔널센터 21층,063-270-4758,"(중화권) 유학생 유치, (중화권) JBNU국제센터"
국제협력과,국제처,본부,JBNU인터내셔널센터 22층,063-270-4892,"글로컬대학사업, (비중화권) 초청교환학생"
국제협력과,국제처,본부,JBNU인터내셔널센터 23층,063-270-2248,"(비중화권) 초청교환학생, (비중화권)JBNU국제센터, 유학박람회, 큰사람 포인트"
국제협력과,국제처,본부,JBNU인터내셔널센터 24층,063-270-4893,비중화권 외빈 의전 지원
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-2060,국제협력 업무총괄
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-2249,언어교육부 업무총괄
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-4623,행정업무 총괄
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-3666,"어학강좌 운영총괄,보안관리,복무관리,예산관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-3411,"봉급 및 강사료관리,세입금관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-3592,"청사관리,수강지도"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-3593,"수강지도,민원관리,문서관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-2250,"수업계획,정규강좌 운영관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-3667,"원어민채용(관리),공인시험관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-4451,"외부위탁교육 사업관리,기타관련 업무"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-4476,"실용영어관리,교원영어운영관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-2454,"한국어 학점반 수업,대외 한국어 교육"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-4479,"한국어연수 운영,외국인 비자관련 출입국업무"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,063-270-2455,"한국어상설반 운영,TOPIK 시험장 운영"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,270-2454,"중화권 유치, 출입국 외국인 사무소 업무, 유학생 모집 홍보 및 상담"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,270-4479,"한국어연수과정 학사계획수립, 한국어학당 회계 관리, GKS 사업 관리"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,270-3639,"한국어강사 채용 및 운영, 교환학생 한국어 학점과정 학사 운영"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,270-3594,"한국어연수과정 입학 업무, 수료식 관련 업무, 연수생 생활 지원(보험 등)"
언어교육부,국제처,본부,JBNU인터내셔널센터 3층,270-2455,"한국어회화과정, 한국어특별과정, 늘벗도우미, 정부재정재원사업 운영"
입학과,입학처,본부,대학본부 2층,063-270-4419,입학처 업무 총괄
입학과,입학처,본부,대학본부 2층,063-270-4849,입학처장 보좌
입학과,입학처,본부,대학본부 2층,063-270-4742,입학관리과 업무 총괄
입학과,입학처,본부,대학본부 2층,063-270-2087,대학입학전형 기본계획 수립
입학과,입학처,본부,대학본부 2층,063-270-4421,학생부종합전형 서류평가 시행계획 주관
입학과,입학처,본부,대학본부 2층,063-270-2083,"대학입시(정시,수시,추가모집)관리, 실기고사 관리"
입학과,입학처,본부,대학본부 2층,063-270-4862,"고교-대학연계, 추수업무(모의면접, 자유학기제 지원)"
입학과,입학처,본부,대학본부 2층,063-270-4744,"법학전문대학원 입학시험관리 , 시간제 학생 등록, 편입학시험 관리"
입학과,입학처,본부,대학본부 2층,063-270-2422,"의학전문대학원, 치의학전문대학원 입학시험 관리, 일반서무 및 물품관리"
입학과,입학처,본부,대학본부 2층,063-270-4850,학생부종합전형 면접 주관
입학과,입학처,본부,대학본부 2층,063-270-4420,입학전형실 실무 총괄
입학과,입학처,본부,대학본부 2층,063-270-4897,학생부종합전형 전형 총괄
입학과,입학처,본부,대학본부 2층,063-270-4241,특성화고졸재직자 전형 운영. 입시 안내책자 및 리플릿 제작·배부
입학과,입학처,본부,대학본부 2층,063-270-2116,"일반대학원 입학시험 관리, 특수대학원 입학시험 지도"
입학과,입학처,본부,대학본부 2층,063-270-4431,입학전후 추수지도 및 언론홍보
입학과,입학처,본부,대학본부 2층,063-270-4851,고교연계-추수지도팀 업무 협력 추진 총괄
입학과,입학처,본부,대학본부 2층,063-270-4749,"전공연계SG 운영, 멘토링 멘토단 관련업무"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2006,학생처 총괄
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-4072,학생처 총괄
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2121,학생지원과 업무 총괄
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2123,학생지원팀 업무 총괄
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-4141,장학팀 업무 총괄
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2122,"회계 관리, 정부재정지원사업"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-4246,국가장학금 관리
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2163,"교내장학, 정보공시, 장학관련 제 통계업무"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2124,학생 자치기구 지원 및 관리
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2131,"해외봉사, 영호남교류학생, 자기설계, 학생상벌 업무"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2156,"국가 및 교내 근로장학금, 교육조교, 학자금 대출"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-4358,학생지원과 소관 시설물 관리
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2142,"학교경영자책임보험, 학생의료공제, 일반서무"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2162,"외부장학금, 발전지원재단 장학금"
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2132,테니스장 관리
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-3004,장애학생지원 관리
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2146,학생지원과 소관 시설물 관리
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2125,사회봉사센터 업무
학생지원과,학생취업진로처,본부,대학본부 2층,063-270-2009,학생처 부속실 업무
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-2161,취업지원과 업무 총괄
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4142,"종합발전계획관리, 대학회계 예산 편성"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4518,"취업트렌드특강,해외취업특강, 설명회 운영 관리"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-3492,"큰사람프로젝트, 비교과 프로그램, 취업동아리, 취업교과목(취업실전2) 운영 관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4833,"AI인터뷰스튜디오, 면접프로그램, 취업교과목(취업실전1,3),입사지원서, 취업캠프 운영관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4834,"일반서무, 시설대여, 직무적성검사 및 NCS 프로그램 운영관리"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-2165,"취업률 향상 대책 수립 등 주요업무, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4885,"큰사람 직무체험, 기업 직무체험, 취업박람회 및 기업간담회 운영관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4242,"기업탐방 프로그램, 채용설명회, 적성검사 해석상담 운영관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-2171,"우수학생 기숙형대학(HRC) 업무, 추천채용 관리, 집중컨설팅 운영관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-2353,"취업 통계 및 취업 DB관리, 취업률 향상 프로그램, 찾아가는 학과간담회 운영 관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4839,"AI 기반 진로 취업 솔루션 구축업무, 취업통계 자체조사시스템 운영관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4125,"진로교과목 운영 총괄, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-2166,"평생지도교수제 '진로개발 및 상담', 재학생-졸업생 멘토링 운영, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-3493,"신입생-재학생 멘토링 프로그램, 자기주도 진로설계 워크숍,, 대학생활 적응 프로그램 운영, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-3491,"신입생 진로 교과목, 전공탐색 박람회, 명사특강, 서포터즈 운영관리, 진로상담"
취업진로지원과,학생취업진로처,본부,학생타운 2층,063-270-4831,"재학생-재학생 멘토링, 진로캠프, 신입생 자기주도 전공탐색프로그램 운영, 진로상담"
