building_code,building_name,floor,room_no
,경상대학 · 8-3 경상대학 3호관,4층,421호
,경상대학 · 8-3 경상대학 3호관,4층,422호
,사범대학 · 6-1 사범대학 본관,3층,302호
,사범대학 · 6-1 사범대학 본관,3층,323호
,사범대학 · 6-1 사범대학 본관,4층,403호
,사범대학 · 6-1 사범대학 본관,4층,423호
,사범대학 · 6-3 사범대학 과학관,1층,113호
,사범대학 · 6-3 사범대학 과학관,1층,115호
,사범대학 · 6-3 사범대학 과학관,3층,310-2호
,사범대학 · 6-3 사범대학 과학관,3층,320호
,사범대학 · 4-3 진수당 교육연구동,2층,204호
,사범대학 · 4-3 진수당 교육연구동,3층,311호
,사범대학 · 4-3 진수당 교육연구동,4층,411호
,사범대학 · 4-3 진수당 교육연구동,4층,411호
,사범대학 · 4-3 진수당 교육연구동,5층,520호
,사회과학대학 · 14-3 인문사회관,3층,326호
,사회과학대학 · 14-3 인문사회관,3층,327호
,사회과학대학 · 14-3 인문사회관,3층,328호
,사회과학대학 · 14-3 인문사회관,3층,329호
,사회과학대학 · 14-3 인문사회관,3층,330호
,사회과학대학 · 14-3 인문사회관,3층,331호
,사회과학대학 · 1-32 글로벌인재관,2층,209호
,생활과학대학 · 7-1 생활과학대학,1층,102호
,생활과학대학 · 7-1 생활과학대학,2층,205호
,생활과학대학 · 7-1 생활과학대학,3층,305호
,생활과학대학 · 7-1 생활과학대학,4층,405호
,생활과학대학 · 7-1 생활과학대학,5층,505호
,예술대학 · 예술대 구관(공식 페이지 표기),2층,2030호
,예술대학 · 예술대 신관(공식 페이지 표기),1층,1270호
,예술대학 · 예술대 신관(공식 페이지 표기),2층,2010호
,예술대학 · 예술대 신관(공식 페이지 표기),3층,3220호
,예술대학 · 예술대 신관(공식 페이지 표기),4층,4230호
,의과대학 · 11-1 의과대학 본관,1층,112-1호
,의과대학 · 11-2·11-3·11-4·11-5·27-10 관련 시설,전체,2호관·생명과학관·학생회관·의학계도서관·교수연구동
,인문대학 · 14-2 인문대학 2호관,2층,224호
,인문대학 · 14-2 인문대학 2호관,2층,226호
,인문대학 · 14-2 인문대학 2호관,2층,230호
,인문대학 · 14-3 인문사회관,3층,315호
,인문대학 · 14-3 인문사회관,3층,318호
,인문대학 · 14-3 인문사회관,3층,320호
,인문대학 · 14-3 인문사회관,4층,423호
,인문대학 · 14-3 인문사회관,4층,425호
,인문대학 · 14-3 인문사회관,4층,427호
,인문대학 · 14-3 인문사회관,4층,429호
,인문대학 · 14-3 인문사회관,4층,432호
,인문대학 · 1-32 글로벌인재관,2층,215호
,자연과학대학 · 15-0 자연과학대학 본관,2층,209호
,자연과학대학 · 15-0 자연과학대학 본관,3층,316호
,자연과학대학 · 15-0 자연과학대학 본관,4층,409호
,자연과학대학 · 15-1 자연과학대학 1호관,2층,210호
,자연과학대학 · 15-2 자연과학대학 2호관,1층,122호
,자연과학대학 · 15-3 자연과학대학 3호관,1층,102호
,자연과학대학 · 15-4 자연과학대학 4호관,1층,122호
,자연과학대학 · 15-4 자연과학대학 4호관,1층,106호
,자연과학대학 · 15-4 자연과학대학 4호관,2층,206호
,자연과학대학 · 15-4 자연과학대학 4호관,3층,305호
,자연과학대학 · 15-5 자연과학대학 5호관,2층,207호
,자연과학대학 · 학군단 건물,3층,303-1호
,AI대학 · 2-5 공과대학 5호관,1층,113호
,AI대학 · 2-7 공과대학 7호관,2층,224-2호
,공과대학 · 2-1 공과대학 1호관,1층,101호
,공과대학 · 2-1 공과대학 1호관,1층,102호
,공과대학 · 2-1 공과대학 1호관,1층,103호
,공과대학 · 2-1 공과대학 1호관,1층,104호
,공과대학 · 2-1 공과대학 1호관,1층,105호
,공과대학 · 2-1 공과대학 1호관,1층,107호
,공과대학 · 2-1 공과대학 1호관,1층,107-1호
,공과대학 · 2-1 공과대학 1호관,1층,108호
,공과대학 · 2-1 공과대학 1호관,1층,108-1호
,공과대학 · 2-1 공과대학 1호관,1층,109호
,공과대학 · 2-1 공과대학 1호관,1층,110·110-1·112·114~119호
,공과대학 · 2-1 공과대학 1호관,1층,113호
,공과대학 · 2-1 공과대학 1호관,1층,122·123호
,공과대학 · 2-1 공과대학 1호관,1층,125호
,공과대학 · 2-1 공과대학 1호관,1층,126~131호
,공과대학 · 2-1 공과대학 1호관,1층,132호
,공과대학 · 2-1 공과대학 1호관,1층,133-1·134호
,공과대학 · 2-1 공과대학 1호관,1층,135호
,공과대학 · 2-1 공과대학 1호관,1층,136호
,공과대학 · 2-1 공과대학 1호관,1층,137호
,공과대학 · 2-1 공과대학 1호관,1층,138~141호
,공과대학 · 2-1 공과대학 1호관,1층,142호
,공과대학 · 2-1 공과대학 1호관,1층,142-1호
,공과대학 · 2-1 공과대학 1호관,1층,143~147호
,공과대학 · 2-1 공과대학 1호관,1층,149호
,공과대학 · 2-1 공과대학 1호관,1층,151호
,공과대학 · 2-1 공과대학 1호관,1층,152호
,공과대학 · 2-1 공과대학 1호관,1층,153호
,공과대학 · 2-1 공과대학 1호관,1층,154호
,공과대학 · 2-1 공과대학 1호관,1층,156호
,공과대학 · 2-1 공과대학 1호관,1층,157호
,공과대학 · 2-1 공과대학 1호관,1층,158·161호
,공과대학 · 2-1 공과대학 1호관,1층,162·163호
,공과대학 · 2-1 공과대학 1호관,1층,164호
,공과대학 · 2-1 공과대학 1호관,1층,171·172호
,공과대학 · 2-1 공과대학 1호관,2층,206호
,공과대학 · 2-1 공과대학 1호관,2층,225호
,공과대학 · 2-1 공과대학 1호관,2층,228호
,공과대학 · 2-1 공과대학 1호관,2층,231호
,공과대학 · 2-1 공과대학 1호관,2층,232~235호
,공과대학 · 2-1 공과대학 1호관,2층,252호
,공과대학 · 2-1 공과대학 1호관,2층,256호
,공과대학 · 2-1 공과대학 1호관,2층,258·258-1호
,공과대학 · 2-1 공과대학 1호관,2층,259호
,공과대학 · 2-1 공과대학 1호관,2층,260호
,공과대학 · 2-1 공과대학 1호관,2층,261호
,공과대학 · 2-1 공과대학 1호관,2층,262·262-1호
,공과대학 · 2-1 공과대학 1호관,2층,263호
,공과대학 · 2-1 공과대학 1호관,2층,264·265호
,공과대학 · 2-1 공과대학 1호관,2층,266호
,공과대학 · 2-1 공과대학 1호관,3층,301~303호
,공과대학 · 2-1 공과대학 1호관,3층,309·310호
,공과대학 · 2-1 공과대학 1호관,3층,311호
,공과대학 · 2-1 공과대학 1호관,3층,314·315호
,공과대학 · 2-1 공과대학 1호관,3층,316호
,공과대학 · 2-1 공과대학 1호관,3층,317·317-1호
,공과대학 · 2-1 공과대학 1호관,3층,318호
,공과대학 · 2-1 공과대학 1호관,3층,320호
,공과대학 · 2-1 공과대학 1호관,3층,321~323호
,공과대학 · 2-1 공과대학 1호관,3층,333호
,공과대학 · 2-1 공과대학 1호관,3층,340~344호
,공과대학 · 2-1 공과대학 1호관,3층,355~360호
,공과대학 · 2-2 공과대학 2호관,1층,101~104호
,공과대학 · 2-2 공과대학 2호관,1층,105~109호
,공과대학 · 2-2 공과대학 2호관,1층,110호
,공과대학 · 2-2 공과대학 2호관,1층,111호
,공과대학 · 2-2 공과대학 2호관,1층,112~117호
,공과대학 · 2-2 공과대학 2호관,2층,201~213호
,공과대학 · 2-2 공과대학 2호관,2층,214~223호
,공과대학 · 2-2 공과대학 2호관,3층,301호
,공과대학 · 2-2 공과대학 2호관,3층,302호
,공과대학 · 2-2 공과대학 2호관,3층,302-1호
,공과대학 · 2-2 공과대학 2호관,3층,304호
,공과대학 · 2-2 공과대학 2호관,3층,305~311호
,공과대학 · 2-2 공과대학 2호관,3층,311-1호
,공과대학 · 2-2 공과대학 2호관,3층,313-1호
,공과대학 · 2-2 공과대학 2호관,3층,313호
,공과대학 · 2-2 공과대학 2호관,3층,314호
,공과대학 · 2-2 공과대학 2호관,3층,315호
,공과대학 · 2-2 공과대학 2호관,3층,316·317호
,공과대학 · 2-2 공과대학 2호관,3층,318호
,공과대학 · 2-2 공과대학 2호관,3층,319호
,공과대학 · 2-2 공과대학 2호관,3층,320호
,공과대학 · 2-2 공과대학 2호관,3층,320-1호
,공과대학 · 2-2 공과대학 2호관,3층,321·322호
,공과대학 · 2-2 공과대학 2호관,3층,323호
,공과대학 · 2-2 공과대학 2호관,3층,324호
,공과대학 · 2-2 공과대학 2호관,3층,325호
,공과대학 · 2-2 공과대학 2호관,3층,326호
,공과대학 · 2-2 공과대학 2호관,3층,327호
,공과대학 · 2-2 공과대학 2호관,4층,401-1호
,공과대학 · 2-2 공과대학 2호관,4층,401호
,공과대학 · 2-2 공과대학 2호관,4층,403호
,공과대학 · 2-2 공과대학 2호관,4층,404·405호
,공과대학 · 2-2 공과대학 2호관,4층,407호
,공과대학 · 2-2 공과대학 2호관,4층,408호
,공과대학 · 2-2 공과대학 2호관,4층,409호
,공과대학 · 2-2 공과대학 2호관,4층,410호
,공과대학 · 2-2 공과대학 2호관,4층,411~413호
,공과대학 · 2-2 공과대학 2호관,4층,412호
,공과대학 · 2-2 공과대학 2호관,4층,414호
,공과대학 · 2-2 공과대학 2호관,4층,415호
,공과대학 · 2-2 공과대학 2호관,4층,416~418호
,공과대학 · 2-3 공과대학 3호관,1층,101·103·104호
,공과대학 · 2-3 공과대학 3호관,1층,104-1호
,공과대학 · 2-3 공과대학 3호관,1층,106호
,공과대학 · 2-3 공과대학 3호관,1층,106-1·107호
,공과대학 · 2-3 공과대학 3호관,1층,108호
,공과대학 · 2-3 공과대학 3호관,1층,109-2호
,공과대학 · 2-3 공과대학 3호관,1층,110호
,공과대학 · 2-3 공과대학 3호관,2층,201·201-1호
,공과대학 · 2-3 공과대학 3호관,2층,202·204·204-1·206-1·217·219·221·222·223·224호
,공과대학 · 2-3 공과대학 3호관,2층,205·205-1·218호
,공과대학 · 2-3 공과대학 3호관,2층,206호
,공과대학 · 2-3 공과대학 3호관,2층,207·208호
,공과대학 · 2-3 공과대학 3호관,2층,209·222-1호
,공과대학 · 2-3 공과대학 3호관,2층,210호
,공과대학 · 2-3 공과대학 3호관,2층,211호
,공과대학 · 2-3 공과대학 3호관,2층,213호
,공과대학 · 2-3 공과대학 3호관,2층,215호
,공과대학 · 2-3 공과대학 3호관,2층,216호
,공과대학 · 2-3 공과대학 3호관,2층,220호
,공과대학 · 2-3 공과대학 3호관,3층,301호
,공과대학 · 2-3 공과대학 3호관,3층,304~307호
,공과대학 · 2-3 공과대학 3호관,3층,309~311호
,공과대학 · 2-3 공과대학 3호관,3층,312호
,공과대학 · 2-3 공과대학 3호관,3층,313호
,공과대학 · 2-3 공과대학 3호관,4층,401·403·403-1·404·404-1·406·408~411호
,공과대학 · 2-3 공과대학 3호관,4층,407호
,공과대학 · 2-4 공과대학 4호관,지하1층,001~008호
,공과대학 · 2-4 공과대학 4호관,지하1층,014~020호
,공과대학 · 2-4 공과대학 4호관,지하1층,022-1호
,공과대학 · 2-4 공과대학 4호관,1층,101호
,공과대학 · 2-4 공과대학 4호관,1층,102호
,공과대학 · 2-4 공과대학 4호관,1층,103호
,공과대학 · 2-4 공과대학 4호관,1층,104~112호
,공과대학 · 2-4 공과대학 4호관,1층,113호
,공과대학 · 2-4 공과대학 4호관,1층,114호
,공과대학 · 2-4 공과대학 4호관,1층,115호
,공과대학 · 2-4 공과대학 4호관,1층,116호
,공과대학 · 2-4 공과대학 4호관,1층,117~120호
,공과대학 · 2-4 공과대학 4호관,1층,120-1호
,공과대학 · 2-4 공과대학 4호관,1층,121호
,공과대학 · 2-4 공과대학 4호관,1층,123호
,공과대학 · 2-4 공과대학 4호관,1층,124호
,공과대학 · 2-4 공과대학 4호관,1층,125호
,공과대학 · 2-4 공과대학 4호관,1층,126호
,공과대학 · 2-4 공과대학 4호관,1층,128호
,공과대학 · 2-4 공과대학 4호관,1층,130-1호
,공과대학 · 2-4 공과대학 4호관,1층,131·132호
,공과대학 · 2-4 공과대학 4호관,1층,133호
,공과대학 · 2-4 공과대학 4호관,1층,133-1호
,공과대학 · 2-4 공과대학 4호관,2층,201~209·211·213~224호
,공과대학 · 2-4 공과대학 4호관,2층,210호
,공과대학 · 2-4 공과대학 4호관,2층,212호
,공과대학 · 2-4 공과대학 4호관,2층,226~235호
,공과대학 · 2-4 공과대학 4호관,3층,301~329호
,공과대학 · 2-4 공과대학 4호관,3층,331~344호
,공과대학 · 2-4 공과대학 4호관,4층,401~409호
,공과대학 · 2-4 공과대학 4호관,4층,411~420호
,공과대학 · 2-5 공과대학 5호관,1층,102호
,공과대학 · 2-5 공과대학 5호관,1층,103호
,공과대학 · 2-5 공과대학 5호관,1층,104호
,공과대학 · 2-5 공과대학 5호관,1층,105호
,공과대학 · 2-5 공과대학 5호관,1층,106호
,공과대학 · 2-5 공과대학 5호관,1층,107호
,공과대학 · 2-5 공과대학 5호관,1층,109호
,공과대학 · 2-5 공과대학 5호관,1층,110호
,공과대학 · 2-5 공과대학 5호관,1층,111호
,공과대학 · 2-5 공과대학 5호관,1층,112호
,공과대학 · 2-5 공과대학 5호관,1층,113호
,공과대학 · 2-5 공과대학 5호관,1층,114호
,공과대학 · 2-5 공과대학 5호관,2층,203~209호
,공과대학 · 2-5 공과대학 5호관,2층,211~216호
,공과대학 · 2-5 공과대학 5호관,3층,302호
,공과대학 · 2-5 공과대학 5호관,3층,303호
,공과대학 · 2-5 공과대학 5호관,3층,304호
,공과대학 · 2-5 공과대학 5호관,3층,305호
,공과대학 · 2-5 공과대학 5호관,3층,306호
,공과대학 · 2-5 공과대학 5호관,3층,307호
,공과대학 · 2-5 공과대학 5호관,3층,308호
,공과대학 · 2-5 공과대학 5호관,3층,309호
,공과대학 · 2-5 공과대학 5호관,3층,311호
,공과대학 · 2-5 공과대학 5호관,3층,312호
,공과대학 · 2-5 공과대학 5호관,3층,313호
,공과대학 · 2-5 공과대학 5호관,3층,313-1호
,공과대학 · 2-5 공과대학 5호관,3층,314호
,공과대학 · 2-5 공과대학 5호관,3층,315호
,공과대학 · 2-5 공과대학 5호관,4층,402~409호
,공과대학 · 2-5 공과대학 5호관,4층,411~417호
,공과대학 · 2-5 공과대학 5호관,5층,502~507호
,공과대학 · 2-5 공과대학 5호관,5층,509~514호
,공과대학 · 2-6 공과대학 6호관,지하1층,806호
,공과대학 · 2-6 공과대학 6호관,지하1층,807호
,공과대학 · 2-6 공과대학 6호관,지하1층,811~819호
,공과대학 · 2-6 공과대학 6호관,지하1층,824호
,공과대학 · 2-6 공과대학 6호관,1층,118호
,공과대학 · 2-6 공과대학 6호관,1층,기타 호실
,공과대학 · 2-6 공과대학 6호관,2층,201~210호
,공과대학 · 2-6 공과대학 6호관,2층,220~229호
,공과대학 · 2-6 공과대학 6호관,3층,307호
,공과대학 · 2-6 공과대학 6호관,3층,308호
,공과대학 · 2-6 공과대학 6호관,3층,309·310호
,공과대학 · 2-6 공과대학 6호관,3층,311·311-1·316·321~326호
,공과대학 · 2-6 공과대학 6호관,3층,312호
,공과대학 · 2-6 공과대학 6호관,3층,313호
,공과대학 · 2-6 공과대학 6호관,3층,314·318-2호
,공과대학 · 2-6 공과대학 6호관,3층,315호
,공과대학 · 2-6 공과대학 6호관,3층,317호
,공과대학 · 2-6 공과대학 6호관,3층,318호
,공과대학 · 2-6 공과대학 6호관,3층,319호
,공과대학 · 2-6 공과대학 6호관,3층,320호
,공과대학 · 2-6 공과대학 6호관,3층,327호
,공과대학 · 2-6 공과대학 6호관,4층,407호
,공과대학 · 2-6 공과대학 6호관,4층,407-1호
,공과대학 · 2-6 공과대학 6호관,4층,408호
,공과대학 · 2-6 공과대학 6호관,4층,408-1호
,공과대학 · 2-6 공과대학 6호관,4층,408-2호
,공과대학 · 2-6 공과대학 6호관,4층,409호
,공과대학 · 2-6 공과대학 6호관,4층,410호
,공과대학 · 2-6 공과대학 6호관,4층,411~417호
,공과대학 · 2-6 공과대학 6호관,4층,418-1호
,공과대학 · 2-6 공과대학 6호관,4층,418호
,공과대학 · 2-6 공과대학 6호관,4층,419호
,공과대학 · 2-6 공과대학 6호관,4층,420·420-1호
,공과대학 · 2-6 공과대학 6호관,4층,421호
,공과대학 · 2-6 공과대학 6호관,4층,422호
,공과대학 · 2-6 공과대학 6호관,4층,423~426호
,공과대학 · 2-6 공과대학 6호관,4층,427호
,공과대학 · 2-6 공과대학 6호관,4층,428·428-1호
,공과대학 · 2-6 공과대학 6호관,5층,501~514호
,공과대학 · 2-6 공과대학 6호관,5층,516~519호
,공과대학 · 2-7 공과대학 7호관,지하1층,002~005호
,공과대학 · 2-7 공과대학 7호관,지하1층,013~020호
,공과대학 · 2-7 공과대학 7호관,1층,101~106호
,공과대학 · 2-7 공과대학 7호관,1층,114~122호
,공과대학 · 2-7 공과대학 7호관,2층,202호
,공과대학 · 2-7 공과대학 7호관,2층,203호
,공과대학 · 2-7 공과대학 7호관,2층,204호
,공과대학 · 2-7 공과대학 7호관,2층,205호
,공과대학 · 2-7 공과대학 7호관,2층,206호
,공과대학 · 2-7 공과대학 7호관,2층,207호
,공과대학 · 2-7 공과대학 7호관,2층,208~222호
,공과대학 · 2-7 공과대학 7호관,2층,223호
,공과대학 · 2-7 공과대학 7호관,2층,224호
,공과대학 · 2-7 공과대학 7호관,2층,224-2호
,공과대학 · 2-7 공과대학 7호관,2층,225·226호
,공과대학 · 2-7 공과대학 7호관,2층,227·228호
,공과대학 · 2-7 공과대학 7호관,3층,303~307호
,공과대학 · 2-7 공과대학 7호관,3층,314~328호
,공과대학 · 2-7 공과대학 7호관,4층,403~407호
,공과대학 · 2-7 공과대학 7호관,4층,422~432호
,공과대학 · 2-7 공과대학 7호관,5층,505~508호
,공과대학 · 2-7 공과대학 7호관,5층,519~532호
,공과대학 · 2-7 공과대학 7호관,6층,601호
,공과대학 · 2-7 공과대학 7호관,6층,602호
,공과대학 · 2-7 공과대학 7호관,6층,603·605호
,공과대학 · 2-7 공과대학 7호관,6층,604호
,공과대학 · 2-7 공과대학 7호관,6층,606호
,공과대학 · 2-7 공과대학 7호관,6층,607호
,공과대학 · 2-7 공과대학 7호관,6층,608호
,공과대학 · 2-7 공과대학 7호관,6층,609~612·616~619·623~626호
,공과대학 · 2-7 공과대학 7호관,6층,613호
,공과대학 · 2-7 공과대학 7호관,6층,614호
,공과대학 · 2-7 공과대학 7호관,6층,615호
,공과대학 · 2-7 공과대학 7호관,6층,620호
,공과대학 · 2-7 공과대학 7호관,6층,621호
,공과대학 · 2-7 공과대학 7호관,6층,622호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),1층,101~113호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,201호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,202호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,203호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,204-1호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,204-2호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,205호
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층,206호
